pub_date,title,year,file_name,venue,type,volumn,pages,author,excerpt,paper_url
2020/1/1,A hybrid deep learning and mechanistic kineticsmodel for the prediction of fluid catalytic cracking performance,2020,2020-CERD-hybrid_fcc,Chemical Engineering Research and Design,J,155(2020),202-210,"Fan Yang, Chaonan Dai, Jianquan Tang, Jin Xuan, Jun Cao","Fluid catalytic cracking (FCC) is one of the most important processes in the renewable energy as well as petrochemical industries. The prediction and understanding of the FCC performance in a real industrial environment is still challenging, as this is a highly complex process affected by many extremely non-linear and interrelated factors. In this paper, a novel hybrid predictive framework for FCC is developed by integrating a data-driven deep neural network with a physically meaningful lumped kinetic model, powered by orders of magnitude greater number of high-quality data from a modem automated FCC process. The results show that the novel hybrid model exhibits best predictions with regards to all the evaluation criteria such as Mean Absolute Percentage Error, Pearson coefficient, and standard deviation. It indicates that the hybrid data-driven deep learning with mechanistic kinetics model creates a better approach for fast prediction and optimization of complex reaction processes such as FCC.",https://www.sciencedirect.com/science/article/abs/pii/S0263876220300150
2020/1/1,基于GBDT和新型P-GBDT算法的催化裂化装置汽油收率寻优模型的构建与应用,2020,2020-SYXB-pgbdt_fcc,石油学报,J,36(1),90-98,王伟，汪坤，杨帆*，戴超男，金继民,"催化裂化装置是一个高度非线性和相互强关联的多变量系统，基于数据挖掘技术的分析方法是优化该工艺过程的一类有力工具。笔者利用某石油化工企业集散控制系统(Distributed control system, DCS)和实验室信息管理系统(Laboratory information management system, LIMS)的工业生产实时数据，分别从指标与汽油收率的正负相关性、工业经验以及模型重要性筛选等方面选取了182个关键影响参数，利用梯度提升决策树(GBDT)算法构建催化裂化汽油收率的预测模型，预测相应的汽油收率。基于GBDT集成学习框架构建了P-GBDT模型，引入了特征扰动和特征权重，增大经验可控参数的权重，解决了普通GBDT模型对特征缺乏偏好、经验可控参数特征的权重较小的问题。结果显示，由P-GBDT算法构建的汽油收率预测模型预测结果的准确率、R2、均方根误差等指标相比由GBDT算法构建的基准模型的预测结果明显更好，对真实收率的拟合效果更为接近，对优化改进实际可控装置操作条件具有更好的指导意义。",http://www.syxbsyjg.com/CN/10.3969/j.issn.1001-8719.2020.01.0.22
2017/7/1,基于人工智能算法的催化裂化装置汽油收率预测模型的构建与分析,2019,2019-SYXB-gbdt_fcc,石油学报,J,35(4),655-665,"杨帆,周敏,戴超男,曹军", 基于某石化企业的LIMS(Laboratory information management system)及DCS(Distributed control system)系统中的工业生产数据，结合工业经验中已知的影响催化裂化产品收率的重要因素，通过分析监控指标与实际汽油收率的相关性，筛选出与汽油收率的正负相关性较高的分析指标。在此基础上，基于梯度提升决策树GBDT算法构建了催化裂化汽油收率的预测模型，并预测了相应的汽油产率。结果表明：由GBDT算法构建的汽油收率预测模型预测结果的准确率为98.9%，R2系数为0.236，平均绝对误差为0.531%；模型预测结果与实际汽油产率相比，误差率小于1%，表明构建的模型能精确预测催化裂化装置中汽油等产品收率，有助于在实际生产中优化催化裂化装置的操作条件，从而进一步提升催化裂化装置的经济性能。,http://www.syxbsyjg.com/CN/10.3969/j.issn.1001-8719.2019.04.024
2020/5/1,数据智能算法在催化裂化模型分析中的应用研究进展,2020,2020-SYXB-review-prev,石油学报,J,36(3),xx-xx,杨帆，周敏，金继民，曹军, 催化裂化是一个由多种高度非线性和相互强关联的因素影响的复杂工艺过程，包括原料油性质，反应再生催化剂性质，以及反应操作工况条件等在内的多种因素都会影响到反应过程和产物的收率，对其工艺过程和产品收率优化的数学建模分析一直是石油加工领域研究的热点和难点。集总动力学模型是机理分析层面最为常用的研究方法。选用合适而快捷的参数估算和求取方法，是集总动力学模型构建过程中的重要一环。遗传算法、粒子群算法和模拟退火算法等优化算法一定程度上克服了经典算法对初值依赖性，难寻找全局最优的问题，同时还保证了算法的收敛性，对于集总动力学模型的发展起到了极大的促进作用。此外，通过构建原料油性质、再生剂性质、操作条件和产品分布之间的神经网络模型，可以从统计学的角度，找到产物分布的影响机制，分析得到常规集总分析方法忽略的一些因素，且可对产物分布进行进一步的预测，是构建催化裂化分析模型的一种新型且有效的手段。本文将对现有关于数据智能算法在催化裂化工艺模型构建中应用的研究成果做一整理，以期对后续的研究提供可能的帮助。,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
